Epochs 000, train loss: 1.25, train acc: 0.07, valid loss: 1.41, valid acc: 0.23, test loss: 1.42, test acc: 0.23
Epochs 001, train loss: 1.15, train acc: 0.12, valid loss: 1.18, valid acc: 0.14, test loss: 1.19, test acc: 0.14
Epochs 002, train loss: 1.06, train acc: 0.16, valid loss: 1.10, valid acc: 0.15, test loss: 1.11, test acc: 0.14
Epochs 003, train loss: 1.09, train acc: 0.20, valid loss: 1.09, valid acc: 0.30, test loss: 1.09, test acc: 0.31
Epochs 004, train loss: 1.24, train acc: 0.19, valid loss: 1.09, valid acc: 0.22, test loss: 1.10, test acc: 0.22
Epochs 005, train loss: 1.38, train acc: -0.19, valid loss: 1.72, valid acc: -0.61, test loss: 1.70, test acc: -0.53
Epochs 006, train loss: 1.11, train acc: 0.15, valid loss: 1.14, valid acc: 0.05, test loss: 1.17, test acc: 0.05
Epochs 007, train loss: 1.06, train acc: 0.18, valid loss: 1.05, valid acc: 0.16, test loss: 1.07, test acc: 0.16
Epochs 008, train loss: 1.04, train acc: 0.20, valid loss: 1.02, valid acc: 0.18, test loss: 1.04, test acc: 0.18
Epochs 009, train loss: 1.02, train acc: 0.21, valid loss: 1.01, valid acc: 0.20, test loss: 1.02, test acc: 0.20
Epochs 010, train loss: 1.00, train acc: 0.22, valid loss: 0.98, valid acc: 0.21, test loss: 1.00, test acc: 0.21
Epochs 011, train loss: 0.99, train acc: 0.22, valid loss: 0.97, valid acc: 0.20, test loss: 0.99, test acc: 0.20
Epochs 012, train loss: 0.97, train acc: 0.23, valid loss: 0.96, valid acc: 0.22, test loss: 0.98, test acc: 0.22
Epochs 013, train loss: 1.64, train acc: 0.20, valid loss: 0.97, valid acc: 0.22, test loss: 1.00, test acc: 0.23
Epochs 014, train loss: 1.04, train acc: 0.22, valid loss: 1.00, valid acc: 0.25, test loss: 1.01, test acc: 0.25
