Epochs 000, train loss: 1.20, train acc: 0.01, valid loss: 1.36, valid acc: 0.13, test loss: 1.37, test acc: 0.13
Epochs 001, train loss: 1.11, train acc: 0.03, valid loss: 1.12, valid acc: 0.00, test loss: 1.14, test acc: 0.00
Epochs 002, train loss: 1.11, train acc: 0.03, valid loss: 1.12, valid acc: 0.00, test loss: 1.14, test acc: 0.00
Epochs 003, train loss: 1.07, train acc: 0.16, valid loss: 1.00, valid acc: 0.10, test loss: 1.01, test acc: 0.10
Epochs 004, train loss: 1.03, train acc: 0.19, valid loss: 1.00, valid acc: 0.09, test loss: 1.02, test acc: 0.10
Epochs 005, train loss: 1.14, train acc: 0.08, valid loss: 1.11, valid acc: 0.37, test loss: 1.11, test acc: 0.38
Epochs 006, train loss: 1.09, train acc: 0.19, valid loss: 0.93, valid acc: 0.22, test loss: 0.95, test acc: 0.22
Epochs 007, train loss: 1.02, train acc: 0.22, valid loss: 1.01, valid acc: 0.15, test loss: 1.03, test acc: 0.16
Epochs 008, train loss: 0.90, train acc: 0.31, valid loss: 1.01, valid acc: 0.41, test loss: 1.01, test acc: 0.42
Epochs 009, train loss: 1.18, train acc: 0.10, valid loss: 0.84, valid acc: 0.26, test loss: 0.86, test acc: 0.26
Epochs 010, train loss: 1.08, train acc: 0.13, valid loss: 0.96, valid acc: 0.10, test loss: 0.98, test acc: 0.11
Epochs 011, train loss: 0.96, train acc: 0.28, valid loss: 0.92, valid acc: 0.11, test loss: 0.95, test acc: 0.12
Epochs 012, train loss: 1.15, train acc: 0.13, valid loss: 0.76, valid acc: 0.44, test loss: 0.77, test acc: 0.45
Epochs 013, train loss: 0.85, train acc: 0.30, valid loss: 0.91, valid acc: 0.28, test loss: 0.92, test acc: 0.28
Epochs 014, train loss: 0.69, train acc: 0.43, valid loss: 0.75, valid acc: 0.42, test loss: 0.76, test acc: 0.42
